sample_idx,file,rel_l2
0,1095_10-0.npz,0.47212806
1,1095_10-1.npz,0.47012839
2,1095_10-2.npz,0.47675031
3,1095_10-3.npz,0.47140858
4,1095_10-4.npz,0.47252327
5,1095_11-0.npz,0.37367317
6,1095_11-1.npz,0.37638077
7,1095_11-2.npz,0.37479576
