sample_idx,file,ux_rel_l2,ux_mae,uy_rel_l2,uy_mae,uz_rel_l2,uz_mae,speed_rel_l2,speed_mae,total_rel_l2
0,1095_10-0.npz,0.10577352344989777,1.7858803272247314,0.21306560933589935,0.5792649388313293,0.3410845994949341,1.0728057622909546,0.09136715531349182,1.6871871948242188,0.12999273836612701
1,1095_10-1.npz,0.10143372416496277,1.7549874782562256,0.2146657407283783,0.5813958644866943,0.3254586160182953,1.0271382331848145,0.08791126310825348,1.668867588043213,0.12506218254566193
2,1095_10-2.npz,0.12080597877502441,1.99294114112854,0.24565637111663818,0.6575809717178345,0.39014121890068054,1.2102479934692383,0.10145184397697449,1.8368867635726929,0.1489410698413849
3,1095_10-3.npz,0.10622628033161163,1.8723094463348389,0.22439248859882355,0.6106275916099548,0.3400382697582245,1.1110230684280396,0.09393810480833054,1.7935562133789062,0.13096697628498077
4,1095_10-4.npz,0.10366355627775192,1.7884777784347534,0.2269810289144516,0.6030027270317078,0.35353994369506836,1.1131012439727783,0.09301763772964478,1.7239476442337036,0.1312873214483261
5,1095_11-0.npz,0.09271889925003052,1.7743566036224365,0.19383467733860016,0.5128418803215027,0.29983389377593994,1.0542222261428833,0.0823599174618721,1.6848810911178589,0.11295592039823532
6,1095_11-1.npz,0.10319547355175018,1.8699917793273926,0.20701009035110474,0.538737416267395,0.3163597881793976,1.05496346950531,0.08719848841428757,1.7381540536880493,0.12357642501592636
7,1095_11-2.npz,0.09760517627000809,1.8625190258026123,0.19968482851982117,0.5347057580947876,0.3178770840167999,1.1106030941009521,0.08667514473199844,1.7722809314727783,0.11943385750055313
8,1095_11-3.npz,0.09662274271249771,1.837856411933899,0.20239149034023285,0.5322971940040588,0.31655627489089966,1.083412528038025,0.08277289569377899,1.7125710248947144,0.11819261312484741
9,1095_11-4.npz,0.09910412132740021,1.820708155632019,0.19559131562709808,0.5075077414512634,0.3139908015727997,1.0528676509857178,0.08386997133493423,1.6858303546905518,0.11954263597726822
10,1095_13-0.npz,0.03830624744296074,0.5473618507385254,0.13517822325229645,0.31300729513168335,0.11239577829837799,0.39991873502731323,0.03526005521416664,0.540316104888916,0.0526326559484005
11,1095_13-1.npz,0.03933706507086754,0.5494018197059631,0.13588185608386993,0.3084639310836792,0.1156248152256012,0.4027291536331177,0.035731054842472076,0.5407183170318604,0.053727369755506516
12,1095_13-2.npz,0.040035996586084366,0.5532317161560059,0.14505115151405334,0.3178458511829376,0.1256653070449829,0.4148540496826172,0.036922164261341095,0.5462008118629456,0.056402817368507385
13,1095_13-3.npz,0.038194671273231506,0.5477690696716309,0.13495883345603943,0.30786046385765076,0.11186815053224564,0.398080438375473,0.03579337149858475,0.5447571277618408,0.0524095818400383
14,1095_13-4.npz,0.038473598659038544,0.544328510761261,0.12881982326507568,0.31180432438850403,0.11467614024877548,0.3966527283191681,0.035619866102933884,0.539286196231842,0.05234503746032715
15,1095_14-0.npz,0.08392389863729477,1.5261504650115967,0.2441706657409668,0.6417379379272461,0.2492322474718094,0.8324514031410217,0.0785299688577652,1.501104474067688,0.10770123451948166
16,1095_14-1.npz,0.0854756161570549,1.4758172035217285,0.21136794984340668,0.5730990171432495,0.2377336621284485,0.7822646498680115,0.07539846748113632,1.4036266803741455,0.10521013289690018
17,1095_14-2.npz,0.09880820661783218,1.6711852550506592,0.22335949540138245,0.6287820935249329,0.2767508625984192,0.918100893497467,0.08617669343948364,1.5773886442184448,0.12065716832876205
18,1095_14-3.npz,0.07444309443235397,1.3569599390029907,0.22058306634426117,0.5511336326599121,0.22049230337142944,0.7103628516197205,0.06730684638023376,1.3066285848617554,0.09571335464715958
19,1095_14-4.npz,0.08400266617536545,1.4888505935668945,0.20302048325538635,0.6047975420951843,0.23774167895317078,0.8095153570175171,0.07478611916303635,1.4380500316619873,0.10372356325387955
20,1095_16-0.npz,0.09194938093423843,1.4389439821243286,0.17863894999027252,0.48601531982421875,0.2507566809654236,0.7869200110435486,0.07737476378679276,1.344346046447754,0.11057643592357635
21,1095_16-1.npz,0.08333340287208557,1.3856604099273682,0.17637993395328522,0.49972084164619446,0.22473034262657166,0.7486295700073242,0.07252467423677444,1.3238999843597412,0.10074413567781448
22,1095_16-2.npz,0.08375255018472672,1.2914953231811523,0.17110401391983032,0.45617806911468506,0.21292491257190704,0.6750547289848328,0.07202610373497009,1.231723427772522,0.0993158221244812
23,1095_16-3.npz,0.08191138505935669,1.3526115417480469,0.17036978900432587,0.4748089015483856,0.2217315137386322,0.7316264510154724,0.07076279819011688,1.2864140272140503,0.098934605717659
24,1095_16-4.npz,0.07770998775959015,1.2705292701721191,0.16852055490016937,0.4571138024330139,0.20859818160533905,0.6729381084442139,0.06739185750484467,1.215714931488037,0.0941663458943367
25,1095_17-0.npz,0.08034909516572952,1.4821268320083618,0.17512451112270355,0.5600712895393372,0.2141929566860199,0.7908653616905212,0.07387013733386993,1.4548343420028687,0.09671129286289215
26,1095_17-1.npz,0.08741750568151474,1.547932744026184,0.1683695912361145,0.556186854839325,0.23227006196975708,0.8166506290435791,0.07690396159887314,1.476540446281433,0.10390326380729675
27,1095_17-2.npz,0.0911618173122406,1.6347215175628662,0.1740591824054718,0.5778396725654602,0.24463695287704468,0.8982499241828918,0.08055032789707184,1.5768353939056396,0.10847886651754379
28,1095_17-3.npz,0.08962725847959518,1.648337483406067,0.16617076098918915,0.5760229229927063,0.2511414885520935,0.884598433971405,0.08119165152311325,1.6014243364334106,0.10772320628166199
29,1095_17-4.npz,0.08858449757099152,1.5328727960586548,0.1555091291666031,0.538525402545929,0.2238154411315918,0.7941188216209412,0.0740627571940422,1.439315676689148,0.10315711796283722
30,1095_18-0.npz,0.09879118949174881,1.7650437355041504,0.2821935713291168,0.7280581593513489,0.38898754119873047,1.4023051261901855,0.08706855773925781,1.6845322847366333,0.12258807569742203
31,1095_18-1.npz,0.09879941493272781,1.8387067317962646,0.28225579857826233,0.746497392654419,0.405283659696579,1.4107866287231445,0.08552493155002594,1.72767174243927,0.12416770309209824
