sample_idx,file,ux_rel_l2,ux_mae,uy_rel_l2,uy_mae,uz_rel_l2,uz_mae,speed_rel_l2,speed_mae,total_rel_l2
0,1095_10-0.npz,0.5165808200836182,16.22151756286621,0.8175311088562012,4.079765319824219,0.8023342490196228,5.075133800506592,0.5117265582084656,17.10077667236328,0.5485514998435974
1,1095_10-1.npz,0.597538948059082,18.045869827270508,0.870392382144928,3.1746580600738525,0.8591545224189758,4.335562705993652,0.554855465888977,17.313194274902344,0.6179021000862122
2,1095_10-2.npz,0.6180180907249451,16.11973762512207,0.8588706254959106,2.7450344562530518,0.8799319267272949,4.301624774932861,0.6013803482055664,16.254291534423828,0.6391720175743103
3,1095_10-3.npz,0.5470175743103027,15.93970012664795,0.8134871125221252,4.070091247558594,0.8014857172966003,5.341573238372803,0.5387565493583679,16.819021224975586,0.5789906978607178
4,1095_10-4.npz,0.585690438747406,17.8076229095459,0.8756040334701538,3.194474220275879,0.8622828722000122,4.057270526885986,0.5472092628479004,17.228967666625977,0.605404257774353
5,1095_11-0.npz,0.5895681977272034,16.684429168701172,0.8510351777076721,2.5004515647888184,0.8522688746452332,4.008330821990967,0.5686608552932739,16.55593490600586,0.609846293926239
6,1095_11-1.npz,0.5598478317260742,15.80550479888916,0.7893259525299072,3.732110023498535,0.7966371178627014,5.226333141326904,0.5487887859344482,16.574893951416016,0.588638186454773
7,1095_11-2.npz,0.5209444165229797,16.22134017944336,0.8953367471694946,3.4748752117156982,0.8562409281730652,4.0438995361328125,0.5142382383346558,16.583219528198242,0.5461235046386719
8,1095_11-3.npz,0.6623888611793518,18.332422256469727,0.8633526563644409,2.868396759033203,0.9127348065376282,4.631402492523193,0.6067315936088562,17.426321029663086,0.683030903339386
9,1095_11-4.npz,0.55708909034729,15.972480773925781,0.8157456517219543,2.837979316711426,0.7732369899749756,3.9971306324005127,0.5462659597396851,16.344932556152344,0.5758910179138184
10,1095_13-0.npz,0.5245050191879272,16.21533966064453,0.8527053594589233,4.0589518547058105,0.8421711921691895,4.941938400268555,0.5186435580253601,16.90650749206543,0.5575727820396423
11,1095_13-1.npz,0.6419882774353027,18.43447494506836,0.8433634042739868,3.090040445327759,0.8813971281051636,4.495616436004639,0.588975191116333,17.524995803833008,0.6609368920326233
12,1095_13-2.npz,0.5635643005371094,15.927251815795898,0.8720212578773499,1.9947237968444824,0.89192134141922,3.073578119277954,0.5558956265449524,15.991290092468262,0.5768810510635376
13,1095_13-3.npz,0.5277212858200073,16.051822662353516,0.8388060331344604,4.392242431640625,0.8173079490661621,5.457104206085205,0.5200603604316711,16.90407943725586,0.563797116279602
14,1095_13-4.npz,0.6227155327796936,18.010955810546875,0.8425223231315613,3.598320722579956,0.8691428899765015,4.924333095550537,0.5743913650512695,17.418880462646484,0.6464007496833801
15,1095_14-0.npz,0.5817264914512634,15.336708068847656,0.8944383263587952,2.045072317123413,0.8926327228546143,3.8136916160583496,0.5739606618881226,15.512224197387695,0.599386990070343
16,1095_14-1.npz,0.5301063060760498,15.466920852661133,0.8603183031082153,2.3763480186462402,0.8490056395530701,3.5961997509002686,0.4869990944862366,14.528103828430176,0.5521790981292725
17,1095_14-2.npz,0.45924657583236694,14.393388748168945,0.7523404359817505,1.358373999595642,0.8793087005615234,2.685668468475342,0.458407998085022,14.610041618347168,0.47074684500694275
18,1095_14-3.npz,0.48049020767211914,13.218365669250488,0.7970277667045593,4.476703643798828,0.7671303749084473,5.844172954559326,0.4673534333705902,13.840782165527344,0.5244650840759277
19,1095_14-4.npz,0.5365734100341797,16.225032806396484,0.841225266456604,2.9179985523223877,0.8543204069137573,4.60473108291626,0.49273020029067993,15.31086540222168,0.5624215006828308
20,1095_16-0.npz,0.4820094108581543,14.011523246765137,0.8941689133644104,1.5999221801757812,0.8879749774932861,2.8106679916381836,0.47834837436676025,14.180843353271484,0.49762099981307983
21,1095_16-1.npz,0.4579199254512787,13.113908767700195,0.7716301083564758,3.7602787017822266,0.7476615309715271,5.061817646026611,0.44467175006866455,13.568626403808594,0.4965912997722626
22,1095_16-2.npz,0.5069440007209778,15.481461524963379,0.8593929409980774,3.318366527557373,0.8778653144836426,4.747651100158691,0.484151691198349,15.130598068237305,0.5372778177261353
23,1095_16-3.npz,0.49904221296310425,13.96346378326416,0.8616368770599365,2.076416254043579,0.8587616682052612,3.463021993637085,0.4742352366447449,13.760811805725098,0.5206882953643799
24,1095_16-4.npz,0.47352299094200134,14.743474960327148,0.824312686920166,2.9119346141815186,0.7836577296257019,4.154786586761475,0.4616025686264038,14.899580955505371,0.5025835633277893
25,1095_17-0.npz,0.4548059105873108,13.120490074157715,0.7802921533584595,3.6762468814849854,0.8002673983573914,4.712456226348877,0.4476153552532196,13.61514949798584,0.48906654119491577
26,1095_17-1.npz,0.5547236800193787,15.695265769958496,0.860390841960907,2.438540458679199,0.8545041084289551,4.042807102203369,0.5192953944206238,15.103577613830566,0.5774056315422058
27,1095_17-2.npz,0.44332650303840637,13.834634780883789,0.7817972302436829,1.5983906984329224,0.8371992111206055,2.89656925201416,0.4381832182407379,13.868631362915039,0.4580425024032593
28,1095_17-3.npz,0.4929424524307251,14.349761962890625,0.8013657927513123,4.902335166931152,0.7832828164100647,6.2556633949279785,0.4819200038909912,15.238808631896973,0.5375887155532837
29,1095_17-4.npz,0.5407515168190002,15.085092544555664,0.8604342341423035,2.4865572452545166,0.8492016196250916,3.836601972579956,0.4975054860115051,14.189509391784668,0.5633593201637268
30,1095_18-0.npz,0.4485193192958832,13.752111434936523,0.7754295468330383,1.5639139413833618,0.8481343388557434,3.112403154373169,0.4436507523059845,13.838078498840332,0.4636436998844147
31,1095_18-1.npz,0.4742278456687927,13.526579856872559,0.8040647506713867,4.631471633911133,0.7766082882881165,5.915926933288574,0.46406975388526917,14.275043487548828,0.5195522904396057
32,1095_18-2.npz,0.4399362802505493,12.663357734680176,0.790396511554718,4.3874359130859375,0.6887518167495728,5.360080718994141,0.4184040129184723,12.916407585144043,0.48300743103027344
33,1095_18-3.npz,0.4440212845802307,13.02404499053955,0.7917699217796326,5.254366397857666,0.8408069014549255,6.281506538391113,0.43397316336631775,13.699166297912598,0.5009897947311401
34,1095_18-4.npz,0.3929087519645691,11.424187660217285,0.8709590435028076,3.3509879112243652,0.761438250541687,4.264129638671875,0.38391223549842834,11.735103607177734,0.4376857578754425
35,3001_10-0.npz,0.4218776524066925,12.622769355773926,0.7584254145622253,3.7681844234466553,0.7141595482826233,4.885189533233643,0.40006762742996216,12.61819839477539,0.45766714215278625
36,3001_10-1.npz,0.4425392150878906,12.54781723022461,0.777903139591217,5.51751184463501,0.8042352795600891,6.990650653839111,0.4384528696537018,13.618803024291992,0.5069274306297302
37,3001_10-2.npz,0.4107512831687927,12.560084342956543,0.901710033416748,3.6178383827209473,0.7924076318740845,4.3263654708862305,0.39665767550468445,12.743027687072754,0.4534965753555298
38,3001_10-3.npz,0.390885591506958,11.395637512207031,0.7872178554534912,2.914548397064209,0.7562061548233032,3.878422975540161,0.3805141746997833,11.465852737426758,0.4209143817424774
39,3001_10-4.npz,0.44721049070358276,13.219953536987305,0.8020740747451782,6.030620574951172,0.7826427817344666,7.823502540588379,0.43205276131629944,14.0848970413208,0.5159211754798889
40,3001_11-0.npz,0.40998178720474243,12.022579193115234,0.79962158203125,3.2685298919677734,0.760668933391571,3.3872435092926025,0.3978547751903534,12.205235481262207,0.4403184652328491
41,3001_11-1.npz,0.40015819668769836,11.640399932861328,0.8365218639373779,3.3540611267089844,0.7933757305145264,4.757054805755615,0.3947211802005768,12.004168510437012,0.4437461495399475
42,3001_11-2.npz,0.44687482714653015,12.922677993774414,0.8264815211296082,5.505246162414551,0.7414487600326538,6.745131969451904,0.42315956950187683,13.25183391571045,0.5026536583900452
43,3001_11-3.npz,0.4315372109413147,12.5643310546875,0.7738256454467773,4.141927242279053,0.810164749622345,4.843153476715088,0.4196392893791199,13.03771686553955,0.47722166776657104
44,3001_11-4.npz,0.39826101064682007,11.529805183410645,0.8260875940322876,3.8138742446899414,0.7822636365890503,5.309239864349365,0.3921072781085968,11.995588302612305,0.44877976179122925
45,3001_12-0.npz,0.42556092143058777,12.161504745483398,0.8043800592422485,4.48592472076416,0.6929265856742859,5.317020416259766,0.4024392068386078,12.323553085327148,0.4712650179862976
46,3001_12-1.npz,0.4476388990879059,13.351827621459961,0.7948279976844788,5.113857269287109,0.8393795490264893,6.198257923126221,0.4360143840312958,14.003754615783691,0.502606213092804
47,3001_12-2.npz,0.3893655836582184,10.951212882995605,0.8342992067337036,3.26572847366333,0.7559009194374084,4.165212631225586,0.3817419409751892,11.268917083740234,0.4324135482311249
48,3001_12-3.npz,0.5049613118171692,15.00500202178955,0.8983007669448853,2.5273020267486572,0.9380273222923279,3.8046298027038574,0.4987744390964508,15.189801216125488,0.5271777510643005
49,3001_12-4.npz,0.5860834717750549,16.970510482788086,0.7764477133750916,3.48272705078125,0.8430300951004028,4.506839752197266,0.5560154318809509,16.87592887878418,0.6100237369537354
50,3001_13-0.npz,0.5431992411613464,16.5628719329834,0.8630737662315369,4.888354778289795,0.7508364915847778,6.292786598205566,0.5247242450714111,17.307252883911133,0.5814637541770935
51,3001_13-1.npz,0.5356916189193726,15.644949913024902,0.9108044505119324,2.638899803161621,0.9209746718406677,3.387744903564453,0.5272262096405029,15.772054672241211,0.5541970729827881
52,3001_13-2.npz,0.5956161022186279,17.38886260986328,0.8405091166496277,2.6245553493499756,0.8527404069900513,3.7700560092926025,0.5623462796211243,16.808820724487305,0.6122069954872131
53,3001_13-3.npz,0.5240429639816284,16.135103225708008,0.8058666586875916,4.901577472686768,0.7734420299530029,6.141202926635742,0.5131804943084717,17.057405471801758,0.5638287663459778
54,3001_13-4.npz,0.5440384149551392,15.777864456176758,0.8942933082580566,3.4225964546203613,0.8280439972877502,4.676167011260986,0.5326733589172363,16.173837661743164,0.5720743536949158
55,3001_14-0.npz,0.5761624574661255,16.688440322875977,0.8951452970504761,1.8669301271438599,0.8822609186172485,3.2425076961517334,0.550629734992981,16.17009735107422,0.5896080732345581
56,3001_14-1.npz,0.5662244558334351,16.05365562438965,0.8105860948562622,5.54454231262207,0.77752286195755,6.7075066566467285,0.539720356464386,16.754596710205078,0.6066095232963562
57,3001_14-2.npz,0.5253661274909973,16.65160369873047,0.8735203742980957,3.3786184787750244,0.8140100836753845,4.404818058013916,0.5170830488204956,17.15266227722168,0.5519717931747437
58,3001_14-3.npz,0.5436445474624634,15.506021499633789,0.8806272745132446,1.6397618055343628,0.9132077097892761,2.932534694671631,0.5365625023841858,15.485858917236328,0.5548860430717468
59,3001_14-4.npz,0.5925248861312866,16.425893783569336,0.8108841776847839,5.330130100250244,0.7835181355476379,6.425323963165283,0.5547146797180176,16.805173873901367,0.6276070475578308
60,3002_10-0.npz,0.5287207961082458,16.4842472076416,0.8394708633422852,3.623396158218384,0.7898992300033569,4.997805118560791,0.5177880525588989,16.989030838012695,0.5574599504470825
61,3002_10-1.npz,0.5352353453636169,16.10227394104004,0.9479472041130066,2.1051783561706543,0.9433302879333496,2.9937870502471924,0.5273358821868896,16.10769271850586,0.5508707165718079
